,accident_id,icao,iata,name,state,country,country_code,lat,lon
1029,ACC1003,xxxx,NKG,Nanking Airport,,China,CN,31.7420005798,118.8619995117
1030,ACC1004,xxxx,IWA,Ivanovo Airport,,Russia,RU,56.92031735045557,40.963885175851864
1031,ACC1005,xxxx,YGM,Gimli Airport,MB,Canada,CA,50.6281013489,-97.043296814
1032,ACC1006,xxxx,xxx,San Antonio del Estrecho,,Peru,PE,-12.63783,-76.65143
1036,ACC1010,xxxx,BLP,Bellavista Airport,,Peru,PE,-7.0605602264,-76.5821990967
1039,ACC1013,xxxx,xxx,Union Valley Reservoir,CA,United States,US,33.87908,-117.0816
1041,ACC1015,xxxx,UPN,Uruapan Airport,,Mexico,MX,19.3966999054,-102.0390014648
1042,ACC1016,xxxx,xxx,Elkridge,MD,United States,US,39.20699,-76.72722
1043,ACC1017,xxxx,GOM,Goma Airport,,Democratic Republic of the Congo,CD,-1.9251592386534835,28.9878107606335
1045,ACC1019,xxxx,xxx,Sellafield,,United Kingdom,GB,54.46089046229188,-3.5287721244596693
128,ACC102,xxxx,xxx,Pozo Chuño Mountain,Contumazá district,Peru,PE,-7.33319,-78.7964
1046,ACC1020,xxxx,xxx,Bronson Creek,BC,Canada,CA,55.76172,-120.23704
129,ACC103,xxxx,xxx,Batagay,,Russia,RU,67.91288676482156,134.93536786270866
1057,ACC1031,xxxx,xxx,Luena,,Angola,AO,-11.78358,19.91339
1058,ACC1032,xxxx,CZM,Cozumel Airport,,Mexico,MX,20.72025065560212,-86.9255981445
1059,ACC1033,xxxx,xxx,"Edmonton/Villeneuve Airport, Air Base",,Canada,CA,53.65696,-113.80912
1060,ACC1034,xxxx,CGN,Köln/Bonn Airport,,Germany,DE,50.8658981323,7.1427397728
130,ACC104,xxxx,xxx,Tokmass,,Russia,RU,55.75696,37.61502
1070,ACC1044,xxxx,xxx,Long Loyang,Sarawak,Malaysia,MY,3.44787,114.1189
1073,ACC1047,xxxx,xxx,Pátras,,Greece,GR,38.24424,21.73254
1074,ACC1048,xxxx,ADH,Aldan Airport,,Russia,RU,58.6027984619,125.408996582
1075,ACC1049,xxxx,xxx,Khorog,,Tajikistan,TJ,37.48855,71.55694
131,ACC105,xxxx,SKD,Samarkand Airport,,Uzbekistan,UZ,39.90369240435209,67.36375334565417
1079,ACC1053,xxxx,xxx,Port Blair,,India,IN,11.708766080295936,92.73498
1081,ACC1055,xxxx,xxx,Front Royal,VA,United States,US,38.91798,-78.19355
1083,ACC1057,xxxx,ZSJ,Sandy Lake Airport,ON,Canada,CA,53.076917804849316,-93.3486492857405
1085,ACC1059,xxxx,xxx,Kerman,,Iran,IR,30.276125246078717,57.53485316972978
1089,ACC1063,xxxx,xxx,Tuktoyaktuk,NT,Canada,CA,69.36450243886136,-133.01791992693072
1096,ACC1070,LEAP,xxx,Ampuriabrava Airport,,Spain,ES,42.2599983215,3.109721899
1099,ACC1073,xxxx,YLJ,Meadow Lake Airport,SK,Canada,CA,54.10945259066519,-108.51033675961793
1102,ACC1076,xxxx,NAL,Nalchik Airport,,Russia,RU,43.512887737187874,43.69251807320571
1105,ACC1079,xxxx,TMW,Tamworth Airport,NSW,Australia,AU,-30.988465215031244,150.91227418765772
1106,ACC1080,xxxx,xxx,Key West Harbor,FL,United States,US,24.56122,-81.8014
1107,ACC1081,xxxx,GEG,Spokane International Airport,WA,United States,US,47.61266822704885,-117.53781220558639
1108,ACC1082,xxxx,TIP,Tripoli International Airport,,Libya,LY,32.6635017395,13.1590003967
1111,ACC1085,xxxx,WEI,Weipa Airport,QLD,Australia,AU,-12.6786003113,141.925003052
1112,ACC1086,xxxx,HIW,Hiroshima West Airport,,Japan,JP,34.46223445242589,132.54899985474367
1113,ACC1087,xxxx,KGL,Kigali Airport,,Rwanda,RW,-1.9686298592602167,30.157170681330058
1115,ACC1089,xxxx,xxx,Jacareacanga,PA,Brazil,BR,-6.22162,-57.75822
135,ACC109,xxxx,xxx,Sasasama,,Bolivia,BO,-16.45776567376402,-68.0039770442644
1116,ACC1090,xxxx,UPN,Uruapan Airport,,Mexico,MX,19.445719661836147,-102.0534584819649
1119,ACC1093,xxxx,TIY,Tidjikja Airport,,Mauritania,MR,18.5701007843,-11.423500061
1122,ACC1096,xxxx,xxx,Missoula,MT,United States,US,46.872008413813056,-114.11428426772258
1123,ACC1097,xxxx,xxx,Saborsko,,Croatia,HR,44.98327,15.47927
1127,ACC1101,xxxx,xxx,Fish Egg Inlet,BC,Canada,CA,49.28514,-122.95352
1128,ACC1102,xxxx,xxx,Tarauacá,AC,Brazil,BR,-7.8886567342835665,-70.75695
1129,ACC1103,xxxx,xxx,Vanavara,,Russia,RU,60.68921578615147,101.8161248265253
1130,ACC1104,xxxx,xxx,Chaybukha,,Russia,RU,61.80151,160.41379
1132,ACC1106,xxxx,MCX,Makhachkala Airport,,Russia,RU,42.8167991638,47.6523017883
1133,ACC1107,xxxx,xxx,Batagay,,Russia,RU,67.65991,134.65266
1135,ACC1109,xxxx,xxx,Nabire,,Indonesia,ID,-3.35856,135.50149
137,ACC111,xxxx,xxx,Melcor Ocampo,,Mexico,MX,19.7018,-99.14666
1136,ACC1110,xxxx,SQU,Saposoa Airport,,Peru,PE,-6.9600300789,-76.7684020996
1138,ACC1112,xxxx,xxx,Avenal,CA,United States,US,36.0039,-120.12983
1139,ACC1113,xxxx,xxx,Tabubil,,Papua New Guinea,PG,-9.640629346957992,147.61022130639606
1142,ACC1116,xxxx,xxx,Olsobip,,Papua New Guinea,PG,-9.454987848408997,147.43190356052702
1144,ACC1118,xxxx,xxx,Vrede,,South Africa,ZA,-27.42971,29.16461
138,ACC112,xxxx,MPM,Lourenço Marques Airport,,Mozambique,MZ,-25.9207992554,32.5726013184
1147,ACC1121,xxxx,xxx,Molo Strait,,Indonesia,ID,-6.17148,106.82648
1149,ACC1123,xxxx,ZMT,Masset Airport,BC,Canada,CA,54.122777920416794,-132.16001363057106
1152,ACC1126,xxxx,KJA,Krasnoyarsk Airport,,Russia,RU,56.1729011536,92.4933013916
1155,ACC1129,xxxx,CFF,Cafunfo Airport,,Angola,AO,-8.7836103439,17.9897003174
1165,ACC1139,xxxx,xxx,Reno,NV,United States,US,39.52766,-119.81353
140,ACC114,xxxx,OZH,Zaporozhye Airport,,Ukraine,UA,47.8877714859348,35.325803701787514
1172,ACC1146,xxxx,xxx,Sioux Falls,ON,Canada,CA,45.42178,-75.69117
1173,ACC1147,xxxx,xxx,Sibay Airport,Bashkortostan,Russia,RU,52.71067852786585,58.67789707623583
1174,ACC1148,xxxx,xxx,Palmerston North,,New Zealand,NZ,-40.356536462287536,175.71426093136063
1176,ACC1150,xxxx,xxx,Herpuchi,,Russia,RU,52.8434027343891,138.65606953657345
1177,ACC1151,xxxx,CBT,Catumbela Airport,,Angola,AO,-12.479165217818094,13.612292290952583
1178,ACC1152,xxxx,TPQ,Tepic Airport,,Mexico,MX,21.34485665770875,-104.8430023193
1181,ACC1155,xxxx,xxx,Independence,NY,United States,US,42.08803,-77.78023
1186,ACC1160,xxxx,JAA,Jalalabad Airport,,Afghanistan,AF,34.3997993469,70.4985961914
1187,ACC1161,xxxx,TWU,Tawau Airport,,Malaysia,MY,4.3201599121,118.1279983521
1188,ACC1162,xxxx,TMW,0," km (0.3 mls) ESE Tamworth Airport, NSW",Australia,AU,-31.0839004517,150.847000122
1189,ACC1163,xxxx,xxx,Campbell River,BC,Canada,CA,50.10724784367999,-125.28085742684554
1190,ACC1164,xxxx,UFA,Ufa Airport,,Russia,RU,54.55749794031115,55.89041852187396
1191,ACC1165,xxxx,PDS,Piedras Negras Airport,,Mexico,MX,28.627300820987536,-100.6208624618777
1194,ACC1168,xxxx,KAD,Kaduna Airport,,Nigeria,NG,10.6960000992,7.3201098442
1196,ACC1170,xxxx,DLA,Douala Airport,,Cameroon,CM,3.990791683299381,9.7194795609
1198,ACC1172,xxxx,xxx,Begesin Airstrip,,Papua New Guinea,PG,-9.45508,147.20381
1201,ACC1175,xxxx,EGV,Eagle River Airport,WI,United States,US,45.93487694062224,-89.26724828740603
144,ACC118,xxxx,xxx,Kuban,,Russia,RU,45.35527,40.41312
1209,ACC1183,xxxx,xxx,Bagua,,Peru,PE,-5.6364,-78.53299
145,ACC119,xxxx,xxx,Cabanatuan,,Philippines,PH,15.48503,120.96966
1223,ACC1197,xxxx,xxx,Palapala hills,Morogoro,Tanzania,TZ,-6.80518,37.66229
1226,ACC1200,xxxx,xxx,Terrace,BC,Canada,CA,54.512915176052616,-128.42774489048068
1227,ACC1201,xxxx,xxx,Umba,,Papua New Guinea,PG,-9.45508,147.20381
1229,ACC1203,xxxx,LWK,Lerwick/Tingwall Airport,Shetland Islands,United Kingdom,GB,60.178709882911214,-1.2436100245
1233,ACC1207,xxxx,CNI,Changhai Airport,,China,CN,39.2666666667,122.666944444
1235,ACC1209,xxxx,xxx,Bouaflé,,Cote d'Ivoire,CI,6.98792,-5.75323
1236,ACC1210,xxxx,MDU,Mendi Airport,,Papua New Guinea,PG,-6.096864148919061,143.70455990219827
1237,ACC1211,xxxx,RSH,Russian Mission,AK,United States,US,61.7748902777778,-161.319398722222
1240,ACC1214,xxxx,xxx,Markham Bay,NU,Canada,CA,43.85651,-79.33982
