,operator
0,A & H Aircraft Sales
1,A. McVinish
2,ACE Air Cargo
3,ADC Airlines
4,AIRES Colombia
5,ATI Aircompany
6,AVENSA
7,Abakan Airlines
8,Aeolus Air Charter
9,AereoServicio Guerrero
10,Aeriantur-M Airlines
11,Aero Club Libya
12,Aero Cozumel
13,Aero Cuahonte
14,Aero Ferinco
15,Aero J.L.
16,Aero Léon
17,Aero Spacelines
18,Aero Sudpacifico
19,Aero Union
20,Aero West
21,Aero-Dienst
22,Aerochasqui
23,Aeroflot
24,Aeroklub Polskiej Rzeczypospolitej Ludowej - APRL
25,Aerolift
26,Aerolift Philippines
27,Aerolineas Condor
28,Aeronaves TSM
29,Aeronorte Industria e Comercio Ltda
30,Aeropanamericano
31,Aeroproveedora Proa
32,Aeroservice
33,Aerotaca Colombia - Aerotransportes Casanare
34,Aerotaxi
35,Aerotaxis Ecuatorianos SA - ATESA
36,Aerotécnica
37,Aerotécnicos Asociados de México
38,African Express Airways
39,Agni Air
40,Air Bagan
41,Air Bissau
42,Air Canada
43,Air Carriers Express Services Inc
44,Air Carriers Inc.
45,Air Conesul Táxi Aéreo
46,Air Express A/S
47,Air Flamenco
48,Air France
49,Air Freight NZ
50,Air Ivoire
51,Air Kasai
52,Air Majoro
53,Air Mali
54,Air Manitoba
55,Air Mauritanie
56,Air New Zealand
57,Air Niugini
58,"Air North, Yukon's Airline"
59,Air Ontario
60,Air Regional
61,Air Rhodesia
62,Air Rouergue
63,Air Satellite
64,Air Services Limited
65,Air Sinai
66,Air Spray (1967)
67,Air São Tomé & Principe
68,Air Tahiti
69,Air Tahoma
70,Air Tanzania
71,Air Tindi
72,Air Traders International
73,Air Turks & Caicos (2003)
74,Air Ukraine
75,Air Vietnam
76,AirNow
77,Airborne Express
78,Airbus Industrie
79,Aircraft Charter Inc.
80,Aircraft Pool Leasing Corp.
81,Aircraft Specialities Corporation
82,Aircraft Specialties
83,Airlink
84,Airnorth
85,Airquarius Aviation
86,Airtech Rajawali Udara
87,Airwest Airlines
88,Alaska Aeronautical Industries
89,Alaska Airlines
90,Alaska International Air
91,Alkan Air
92,Alliance Air
93,Aloha Airlines
94,Aloha IslandAir
95,Alpine Aviation
96,Altair Airlines
97,Alyemda
98,American Airlines
99,Ameriflight
100,Ameristar Jet Charter
101,Andaman and Nicobar Administration
102,Ansett Airlines of Australia
103,Ansett Airlines of Papua New Guinea
104,Ansett New Zealand
105,Antonov Design Bureau
106,Arax Airlines
107,Arctic Circle Air Service
108,Arctic Sunwest Charters
109,Arctic Transportation Services
110,Arctic Wings and Rotors
111,Ariana Afghan Airlines
112,Armavia
113,Artix
114,Asian Spirit
115,Aspiring Air
116,Auric Air
117,Aurukun Air Services
118,Austin Airways
119,Austral Lineas Aéreas
120,Avcen
121,Aviakompaniya Pilot
122,Avianca
123,Aviastar
124,Aviastar Mandiri
125,Aviatia Utilitara
126,Aviex Jet
127,Avirex
128,Avjet Corp
129,Azerbaijan Airlines
130,Aéreo Reservaciones Ejecutivas
131,BAL Bremerhaven Airline
132,Bakhtar Afghan Airlines
133,Bali International Air Service
134,Bangkok Airways
135,Bashmia Aero Spray
136,Batair Cargo
137,Bazair
