,type
0,ATR 42
1,ATR 72
2,Aero Spacelines 377
3,Airbus A300
4,Airbus A320
5,Airbus A400
6,Antonov AN-10
7,Antonov AN-12
8,Antonov AN-124
9,Antonov AN-2
10,Antonov AN-22
11,Antonov AN-24
12,Antonov AN-26
13,Antonov AN-28
14,Antonov AN-30
15,Antonov AN-32
16,Antonov AN-74
17,Antonov AN-8
18,Avcen Jetpod
19,Avia 14
20,Avro 748
21,Aérospatiale SN-601
22,BAC One-Eleven
23,Beechcraft 100
24,Beechcraft 1900
25,Beechcraft 200
26,Beechcraft 300
27,Beechcraft 99
28,Beechcraft A100
29,Beechcraft B100
30,Beechcraft B200
31,Beechcraft B300
32,Beechcraft C99
33,Boeing 707
34,Boeing 720
35,Boeing 727
36,Boeing 737
37,Boeing 747
38,Boeing 757
39,Boeing B-17
40,Bombardier CL-600
41,British Aerospace BAE-125
42,British Aerospace BAE-146
43,British Aerospace BAE-748
44,Britten-Norman BN-2
45,CASA C-212
46,CASA CN-235
47,Canadair CL-215
48,Canadair CL-600
49,Cessna 208
50,Cessna 500
51,Cessna 501
52,Cessna 510
53,Cessna 525
54,Cessna 550
55,Cessna 551
56,Cessna 560
57,Cessna 650
58,Cessna S550
59,Chase YC-122
60,Consolidated PBY-5A Catalina
61,Convair CV-440
62,Convair CV-580
63,Curtiss C-46
64,Dassault Falcon 10
65,Dassault Falcon 20
66,Dassault Falcon 50
67,Dornier 228
68,Douglas C-118
69,Douglas C-47
70,Douglas C-54
71,Douglas DC-3
72,Douglas DC-4
73,Douglas DC-6
74,Douglas DC-7
75,Douglas DC-8
76,Douglas RC-54
77,Douglas SC-54
78,Eclipse 500
79,Embraer EMB-110
80,Embraer EMB-120
81,Embraer ERJ 190
82,Fairchild C-119
83,Fairchild C-123
84,Fairchild C-82
85,Fairchild F-27
86,Fairchild FH-227
87,Fairchild SA227
88,Fokker 100
89,Fokker 50
90,Fokker F-27
91,Fokker F-28
92,GAF Nomad N-22
93,GAF Nomad N-24
94,Grumman American G-1159
95,Grumman G-1159
96,Grumman G-159
97,Grumman G-73
98,Grumman HU-16
99,Gulfstream American G-1159
100,Gulfstream G650
101,HAL/Dornier 228
102,Harbin Yunshuji Y-12
103,Hawker Siddeley HS-748
104,Hindustan Aeronautics LTD
105,Howard 250
106,Howard 350
107,Howard Super Ventura
108,IAI 1124
109,IAI Arava 102
110,IRMA/Britten-Norman BN-2
111,IRMA/Pilatus Britten-Norman BN-2
112,Ilyushin IL-14
113,Ilyushin IL-18
114,Ilyushin IL-62
115,Ilyushin IL-76
116,Junkers JU-52
117,Learjet 23
118,Learjet 24
119,Learjet 25
120,Learjet 31
121,Learjet 35
122,Learjet 36
123,Let L-410
124,Lisunov LI-2
125,Lockheed 18
126,Lockheed C-130
127,Lockheed EC-130
128,Lockheed L-100
129,Lockheed L-1011
130,Lockheed L-1049
131,Lockheed L-188
132,Lockheed P-2
133,Lockheed P-3
134,Lockheed PV-2
135,Lockheed SP-2
136,MBB HFB-320
137,Martin 4-0-4
138,McDonnell Douglas DC-10
139,McDonnell Douglas DC-9
140,Morane Saulnier MS-760
141,Nord 262
142,North American Rockwell Sabreliner 40
143,PADC/Pilatus Britten-Norman BN-2
144,Pilatus Britten-Norman BN-2
145,Reims Cessna F406
146,Rockwell 1121
147,Rockwell Sabreliner 65
148,Saab 340
149,Shorts 330
150,Shorts 360
151,Shorts SC.7 Skyvan
152,Sino Swearingen SJ30
153,Sud Aviation SE-210
154,Swearingen SA226
155,Swearingen SA227
156,Tupolev TU-104
157,Tupolev TU-124
158,Tupolev TU-134
159,Tupolev TU-154
160,VFW-Fokker 614
161,Vickers 668
162,Vickers 748
163,Vickers 749
164,Vickers 781
165,Vickers 782
166,Vickers Vanguard
167,Viking Air DHC-6
168,Volpar Turboliner II
169,Xian Yunshuji Y-7
170,Yakovlev YAK-40
171,Yakovlev YAK-42
172,de Havilland Canada DH-114
173,de Havilland Canada DHC-3
174,de Havilland Canada DHC-4
175,de Havilland Canada DHC-5
176,de Havilland Canada DHC-6
177,de Havilland Canada DHC-7
178,de Havilland Canada DHC-8
