,accident_id,date,year,icao,iata,name,state,country,country_code,lat,lon
0,ACC1003,1992-07-31,1992,ZSNJ,NKG,Nanjing Dajiaochang Airport,,China,CN,31.7420005798,118.8619995117
1,ACC1004,1992-08-27,1992,UKCC,DOK,Donetsk Airport,,Ukraine,UA,48.073600769,37.7397003174
2,ACC1005,1992-08-27,1992,GYGM,YGM,Gimli Airport,MB,Canada,CA,50.6281013489,-97.043296814
3,ACC1006,1992-08-27,1992,SPQT,IQT,Iquitos Airport,,Peru,PE,-3.7847399712,-73.3087997437
4,ACC1010,1992-09-10,1992,SPST,TPP,Tarapoto Airport,,Peru,PE,-6.5087399483,-76.3731994629
5,ACC1013,1992-10-01,1992,KSCK,SCK,Stockton Airport,CA,United States of America,US,37.8944102777778,-121.23874
6,ACC1015,1992-12-09,1992,MMPN,UPN,Uruapan Airport,,Mexico,MX,19.3966999054,-102.0390014648
7,ACC1016,1992-12-10,1992,KDAY,DAY,Dayton Airport,OH,United States of America,US,39.9022522222222,-84.2194122222222
8,ACC1017,1992-12-13,1992,FZOA,KND,Kindu Airport,,Democratic Republic of the Congo,CD,-2.9191799164,25.9153995514
9,ACC1019,1993-01-13,1993,EGMC,SEN,Southend Municipal Airport,,United Kingdom,GB,51.5713996887,0.695555985
10,ACC102,1970-01-14,1970,SPRU,TRU,Trujillo Airport,,Peru,PE,-8.081410408,-79.1088027954
11,ACC1020,1993-01-14,1993,xxxx,YBM,Bronson Creek Airport,BC,Canada,CA,55.73842,-120.18551
12,ACC103,1970-01-28,1970,UESO,CKH,Chokurdah Airport,,Russia,RU,70.6231002808,147.9019927979
13,ACC1031,1993-04-26,1993,FNUE,LUO,Luena Airport,,Angola,AO,-11.7680997849,19.8976993561
14,ACC1032,1993-05-15,1993,MMUN,CUN,Cancún Airport,,Mexico,MX,21.0365009308,-86.8770980835
15,ACC1033,1993-05-22,1993,CZVL,xxx,Edmonton/Villeneuve Airport,AB,Canada,CA,53.6674995422,-113.853996277
16,ACC1034,1993-06-07,1993,EDDK,CGN,Köln/Bonn Airport,,Germany,DE,50.8658981323,7.1427397728
17,ACC104,1970-01-31,1970,USCC,CEK,Chelyabinsk Airport,,Russia,RU,55.3058013916,61.5032997131
18,ACC1044,1993-07-30,1993,WBGO,BKM,Ba'kelalan Airport,,Malaysia,MY,3.1500000954,115.233001709
19,ACC1047,1993-08-22,1993,LGEL,xxx,Elefsis Air Base,,Greece,GR,38.0638008118,23.5559997559
20,ACC1048,1993-08-26,1993,xxxx,xxx,Uchur,,Russia,RU,45.41621,43.42122
21,ACC1049,1993-08-28,1993,UTOD,xxx,Khorog Airport,,Tajikistan,TJ,37.502222,71.513333
22,ACC105,1970-02-06,1970,UTTT,TAS,Tashkent Airport,,Uzbekistan,UZ,41.257900238,69.2811965942
23,ACC1053,1993-09-06,1993,xxxx,xxx,Hut Bay,,India,IN,10.93814,92.95856
24,ACC1055,1993-10-26,1993,KOKV,xxx,Winchester Regional Airport,VA,United States of America,US,39.1435277777778,-78.1444444444444
25,ACC1057,1993-11-10,1993,CZSJ,ZSJ,Sandy Lake Airport,ON,Canada,CA,53.064201355,-93.3443984985
26,ACC1059,1993-11-15,1993,OMDB,DXB,Dubai Airport,,United Arab Emirates,AE,25.2527999878,55.3643989563
27,ACC1063,1993-12-03,1993,CYUB,YUB,Tuktoyaktuk Airport,NT,Canada,CA,69.4332962036,-133.0260009766
28,ACC1070,1993-12-28,1993,LEAP,xxx,Ampuriabrava Airport,,Spain,ES,42.2599983215,3.109721899
29,ACC1073,1994-01-27,1994,CYEG,YEG,Edmonton International Airport,AB,Canada,CA,53.3097000122,-113.580001831
30,ACC1076,1994-02-24,1994,URWW,VOG,Volgograd Airport,,Russia,RU,48.7825012207,44.345500946
31,ACC1079,1994-03-09,1994,YARM,ARM,Armidale Airport,NSW,Australia,AU,-30.5280990601,151.617004395
32,ACC1080,1994-03-18,1994,xxxx,xxx,Key West Harbor,FL,United States of America,US,24.56122,-81.8014
33,ACC1081,1994-03-18,1994,KGEG,GEG,Spokane International Airport,WA,United States of America,US,47.6190277777778,-117.535222222222
34,ACC1082,1994-03-19,1994,HLLT,TIP,Tripoli International Airport,,Libya,LY,32.6635017395,13.1590003967
35,ACC1085,1994-03-21,1994,YBWP,WEI,Weipa Airport,QLD,Australia,AU,-12.6786003113,141.925003052
36,ACC1086,1994-04-06,1994,RJOB,OKJ,Okayama Airport,,Japan,JP,34.7569007874,133.854995728
37,ACC1087,1994-04-06,1994,HTDA,DAR,Dar es Salaam International Airport,,Tanzania,TZ,-6.8781099319,39.2025985718
38,ACC1089,1994-04-26,1994,SBIH,ITB,Itaituba Airport,PA,Brazil,BR,-4.2423400879,-56.0007019043
39,ACC109,1970-03-15,1970,xxxx,xxx,Sasasama Airport,,Bolivia,BO,-16.49909,-68.13379
40,ACC1090,1994-06-13,1994,MMLC,LZC,Lázaro Cárdenas Airport,,Mexico,MX,18.0016994476,-102.221000671
41,ACC1093,1994-07-01,1994,GQNN,NKC,Nouakchott Airport,,Mauritania,MR,18.0981998444,-15.9484996796
42,ACC1096,1994-07-29,1994,KMSO,MSO,Missoula Airport,MT,United States of America,US,46.9163055555556,-114.090555555556
43,ACC1097,1994-07-31,1994,LQCO,xxx,Coralici Airport,,Bosnia and Herzegovina,BA,44.98289,15.88702
44,ACC1101,1994-09-17,1994,xxxx,xxx,Fish Egg Inlet,BC,Canada,CA,49.28514,-122.95352
45,ACC1102,1994-09-23,1994,SNOU,FEJ,Feijó Airport,AC,Brazil,BR,-8.140832901,-70.3472213745
46,ACC1103,1994-09-26,1994,UNKL,KJA,Krasnoyarsk Airport,,Russia,RU,56.1729011536,92.4933013916
47,ACC1104,1994-09-30,1994,UHMG,xxx,Chaybukha,,Russia,RU,61.8349990845,160.5480041504
