,accident_id,acc_date,type,operator,registration,total_fatalities,total_occupants,aircraft_damage,phase,nature,depart_airport,destination_airport,location
1029,ACC1003,1992-07-31,Yakovlev YAK-42,China General Aviation Corp.,B-2755,107,126,Destroyed,Takeoff (TOF),Domestic Scheduled Passenger,"Nanjing Dajiaochang Airport (NKG/ZSNJ), China","Xiamen Airport (XMN/ZSAM), China",Nanking Airport (NKG) (China)
1030,ACC1004,1992-08-27,Tupolev TU-134,Aeroflot,RA-65058,84,84,Destroyed,Approach (APR),Domestic Scheduled Passenger,"Donetsk Airport (DOK/UKCC), Ukraine","Ivanovo Airport (IWA/UUBI), Russia",3 km (1.9 mls) SE of Ivanovo Airport (IWA) (Russia)
1031,ACC1005,1992-08-27,de Havilland Canada DHC-4,NewCal Aviation,N400NC,3,3,Destroyed,Initial climb (ICL),Test,"Gimli Airport, MB (YGM/GYGM), Canada","Gimli Airport, MB (YGM/GYGM), Canada","Gimli Airport, MB (YGM) (Canada)"
1032,ACC1006,1992-08-27,de Havilland Canada DHC-6,Transportes Aéreos Nacionales de la Selva - TANS,OB-1153,8,21,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,"Iquitos Airport (IQT/SPQT), Peru","El Estrecho Airport (SPEE), Peru",near San Antonio del Estrecho (Peru)
1036,ACC1010,1992-09-10,Fokker F-27,Expresso Aéreo,OB-1443,1,43,Destroyed,Landing (LDG),Domestic Scheduled Passenger,"Tarapoto Airport (TPP/SPST), Peru","Bellavista Airport (BLP/SPBL), Peru",Bellavista Airport (BLP) (Peru)
1039,ACC1013,1992-10-01,Douglas DC-7,TBM Inc.,N848D,2,2,Destroyed,Maneuvering (MNV),Fire fighting,"Stockton Airport, CA (SCK/KSCK), United States of America","Stockton Airport, CA (SCK/KSCK), United States of America","near Union Valley Reservoir, CA (United States of America)"
1041,ACC1015,1992-12-09,IRMA/Britten-Norman BN-2,Aero Sudpacifico,XA-RML,9,9,Damaged beyond repair,Initial climb (ICL),Passenger,"Uruapan Airport (UPN/MMPN), Mexico","Apatzingan Airport (AZG), Mexico",near Uruapan Airport (UPN) (Mexico)
1042,ACC1016,1992-12-10,Volpar Turboliner II,Connie Kalitta Services,N7770B,1,1,Damaged beyond repair,Approach (APR),Cargo,"Dayton Airport, OH (DAY/KDAY), United States of America","Baltimore/Washington International Airport, MD (BWI/KBWI), United States of America","Elkridge, MD (United States of America)"
1043,ACC1017,1992-12-13,Fokker F-27,Scibe Airlift Cargo Zaire,9Q-CBH,37,37,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Kindu Airport (KND/FZOA), Congo (Democratic Republic)","Goma Airport (GOM/FZNA), Congo (Democratic Republic)",40 km (25 mls) SW of Goma Airport (GOM) (Congo (Democratic Republic))
1045,ACC1019,1993-01-13,Embraer EMB-110,Titan Airways,G-ZAPE,2,2,Destroyed,En route (ENR),Cargo,"Southend Municipal Airport (SEN/EGMC), United Kingdom","Glasgow International Airport (GLA/EGPF), United Kingdom","5,5 km (3.4 mls) NW of Sellafield (United Kingdom)"
128,ACC102,1970-01-14,Douglas RC-54,Faucett Perú,OB-R-776,28,28,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,"Trujillo Airport (TRU/SPRU), Peru","Juanjuí Airport (JJI/SPJI), Peru","Pozo Chuño Mountain, Contumazá district (Peru)"
1046,ACC1020,1993-01-14,Douglas DC-3,Central Mountain Air Services,C-FAAM,2,2,Damaged beyond repair,En route (ENR),Unknown,"Bronson Creek Airport, BC (YBM), Canada","Wrangell Airport, AK (WRG/PAWG), United States of America","near Bronson Creek, BC (Canada)"
129,ACC103,1970-01-28,Antonov AN-24,Aeroflot,CCCP-47701,34,34,Destroyed,En route (ENR),Domestic Scheduled Passenger,"Chokurdah Airport (CKH/UESO), Russia","Batagay Airport (BQJ/UEBB), Russia",40 km (25 mls) NE of Batagay (Russia)
1057,ACC1031,1993-04-26,Antonov AN-12,United Nations - UN,CCCP-11121,1,7,Damaged beyond repair,En route (ENR),Cargo,"Luena Airport (LUO/FNUE), Angola","Catumbela Airport (CBT/FNCT), Angola",near Luena (Angola)
1058,ACC1032,1993-05-15,Douglas DC-6,Carga del Caribe,XA-SEA,3,5,Damaged beyond repair,En route (ENR),Test,"Cancún Airport (CUN/MMUN), Mexico","Cancún Airport (CUN/MMUN), Mexico",22 km (13.8 mls) N off Cozumel Airport (CZM) (Mexico)
1059,ACC1033,1993-05-22,de Havilland Canada DHC-3,Loon Air,C-GKPB,2,3,Substantial,Initial climb (ICL),Test,"Edmonton/Villeneuve Airport, AB (CZVL), Canada","Edmonton/Villeneuve Airport, AB (CZVL), Canada","Edmonton/Villeneuve Airport, AB (Canada)"
1060,ACC1034,1993-06-07,Learjet 35,Aero-Dienst,D-COCO,4,4,Destroyed,Initial climb (ICL),Training,"Köln/Bonn Airport (CGN/EDDK), Germany","Nürnberg Airport (NUE/EDDN), Germany",Köln/Bonn Airport (CGN) (Germany)
